,Name,OPG
625,Josh Smith,5.0
626,Josh Smith,2.0
627,Will Smith,3.0
628,Drew Smyly,12.0
629,Cy Sneed,16.0
630,Blake Snell,15.0
631,Chad Sobotka,3.0
632,Joakim Soria,3.0
633,Mike Soroka,18.0
634,Gregory Soto,8.0
635,Glenn Sparkman,13.0
636,Jeffrey Springs,4.0
637,Locke St. John,3.0
638,Jacob Stallings,3.0
639,Craig Stammen,3.0
640,Ryne Stanek,4.0
641,Cody Stashak,4.0
642,Max Stassi,0.0
643,Josh Staumont,4.0
644,Drew Steckenrider,3.0
645,Robert Stephenson,4.0
646,Brock Stewart,4.0
647,Kohl Stewart,10.0
648,Robert Stock,3.0
649,Matt Strahm,13.0
651,Dan Straily,10.0
652,Stephen Strasburg,19.0
653,Chris Stratton,8.0
654,Hunter Strickland,2.0
655,Ross Stripling,9.0
656,Marcus Stroman,18.0
657,Pedro Strop,3.0
658,Daniel Stumpf,2.0
659,Andrew Suarez,11.0
660,Jose Suarez,14.0
661,Ranger Suarez,5.0
662,Jesus Sucre,3.0
663,Wander Suero,3.0
664,Erik Swanson,11.0
665,Anthony Swarzak,3.0
666,Noah Syndergaard,19.0
667,Jameson Taillon,16.0
668,Masahiro Tanaka,17.0
669,Stephen Tarpley,3.0
670,Josh Taylor,3.0
671,Julio Teheran,16.0
672,Ryan Tepera,3.0
673,Tyler Thornburg,3.0
674,Trent Thornton,14.0
675,Lewis Thorpe,9.0
677,Jesus Tinoco,6.0
678,Josh Tomlin,5.0
679,Carlos Torres,4.0
680,Touki Toussaint,5.0
681,Blake Treinen,3.0
682,Lou Trivino,3.0
683,Nick Tropeano,13.0
684,Sam Tuivailala,3.0
685,Spencer Turnbull,16.0
686,Jose Urena,17.0
687,Julio Urias,7.0
688,Jose Urquidy,14.0
689,Framber Valdez,8.0
690,Phillips Valdez,4.0
691,Jason Vargas,15.0
692,Andrew Vasquez,0.0
693,Felipe Vazquez,3.0
694,Vince Velasquez,9.0
695,Hector Velazquez,6.0
696,Pat Venditte,5.0
697,Jonny Venters,2.0
698,Drew VerHagen,3.0
699,Justin Verlander,20.0
700,Thyago Vieira,4.0
701,Nick Vincent,5.0
703,Arodys Vizcaino,3.0
704,Edinson Volquez,11.0
705,Austin Voth,15.0
706,Michael Wacha,13.0
707,Jacob Waguespack,14.0
708,Adam Wainwright,16.0
709,Marcus Walden,4.0
710,Jeremy Walker,3.0
711,Jared Walsh,3.0
712,Wei-Chung Wang,4.0
713,Adam Warren,3.0
714,Tony Watson,3.0
